
2023/03/11 (18:21:10) | ===> btop++ v.1.2.13
2023/03/11 (18:21:10) | INFO: Logger set to INFO
2023/03/11 (18:21:10) | INFO: Logger set to DEBUG

2023/03/29 (12:39:27) | ===> btop++ v.1.2.13
2023/03/29 (12:39:27) | ERROR: Stall in Runner thread, restarting!

2023/05/09 (22:02:30) | ===> btop++ v.1.2.13
2023/05/09 (22:02:30) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:02:51) | ===> btop++ v.1.2.13
2023/05/09 (22:02:51) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:02:51) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:03:14) | ===> btop++ v.1.2.13
2023/05/09 (22:03:14) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:03:14) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:03:46) | ===> btop++ v.1.2.13
2023/05/09 (22:03:46) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:03:46) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:04:04) | ===> btop++ v.1.2.13
2023/05/09 (22:04:04) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:04:04) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:04:17) | ===> btop++ v.1.2.13
2023/05/09 (22:04:17) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:04:17) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:04:32) | ===> btop++ v.1.2.13
2023/05/09 (22:04:32) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:04:32) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:04:48) | ===> btop++ v.1.2.13
2023/05/09 (22:04:48) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:04:48) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:06:06) | ===> btop++ v.1.2.13
2023/05/09 (22:06:06) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:06:06) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:06:56) | ===> btop++ v.1.2.13
2023/05/09 (22:06:56) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:06:56) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:07:31) | ===> btop++ v.1.2.13
2023/05/09 (22:07:31) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:07:31) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:07:46) | ===> btop++ v.1.2.13
2023/05/09 (22:07:46) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:07:46) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:08:16) | ===> btop++ v.1.2.13
2023/05/09 (22:08:16) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:08:16) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:09:24) | ===> btop++ v.1.2.13
2023/05/09 (22:09:24) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:09:24) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:10:05) | ===> btop++ v.1.2.13
2023/05/09 (22:10:05) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:10:05) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:11:20) | ===> btop++ v.1.2.13
2023/05/09 (22:11:20) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:11:20) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:11:42) | ===> btop++ v.1.2.13
2023/05/09 (22:11:42) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:11:42) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:11:54) | ===> btop++ v.1.2.13
2023/05/09 (22:11:54) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:11:54) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:12:01) | ===> btop++ v.1.2.13
2023/05/09 (22:12:01) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:12:01) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:12:13) | ===> btop++ v.1.2.13
2023/05/09 (22:12:13) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:12:13) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:12:30) | ===> btop++ v.1.2.13
2023/05/09 (22:12:30) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:12:30) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:13:10) | ===> btop++ v.1.2.13
2023/05/09 (22:13:10) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:13:10) | ERROR: Invalid size of hex value: ccc

2023/05/09 (22:45:15) | ===> btop++ v.1.2.13
2023/05/09 (22:45:15) | ERROR: Invalid size of hex value: AAA
2023/05/09 (22:45:15) | ERROR: Invalid size of hex value: ccc

2023/05/13 (11:37:01) | ===> btop++ v.1.2.13
2023/05/13 (11:37:01) | ERROR: Invalid size of hex value: AAA
2023/05/13 (11:37:01) | ERROR: Invalid size of hex value: ccc

2023/05/14 (10:01:38) | ===> btop++ v.1.2.13
2023/05/14 (10:01:38) | ERROR: Invalid size of hex value: AAA
2023/05/14 (10:01:38) | ERROR: Invalid size of hex value: ccc

2023/05/14 (18:56:17) | ===> btop++ v.1.2.13
2023/05/14 (18:56:17) | ERROR: Invalid size of hex value: AAA
2023/05/14 (18:56:17) | ERROR: Invalid size of hex value: ccc

2023/05/14 (19:08:54) | ===> btop++ v.1.2.13
2023/05/14 (19:08:54) | ERROR: Invalid size of hex value: AAA
2023/05/14 (19:08:54) | ERROR: Invalid size of hex value: ccc

2024/08/03 (23:44:55) | ===> btop++ v.1.3.2
2024/08/03 (23:44:55) | ERROR: Invalid size of hex value: AAA
2024/08/03 (23:44:55) | ERROR: Invalid size of hex value: ccc

2024/08/03 (23:54:26) | ===> btop++ v.1.3.2
2024/08/03 (23:54:26) | ERROR: Invalid size of hex value: AAA
2024/08/03 (23:54:26) | ERROR: Invalid size of hex value: ccc

2024/08/04 (15:22:57) | ===> btop++ v.1.3.2
